130,13495
130,16500
152,16500
109,13950
136,17450
136,15250
136,17710
136,18920
131,23875
108,16430
108,16925
164,20970
164,21105
164,24565
209,30760
209,41315
209,36880
61,5151
90,6295
90,6575
90,5572
90,6377
98,7957
90,6229
90,6692
90,7609
98,8558
122,8921
156,12964
92,6479
92,6855
79,5399
92,6529
92,7129
92,7295
92,7295
110,7895
110,9095
110,8845
110,10295
110,12945
110,10345
111,6785
119,11048
258,32250
258,35550
326,36000
91,5195
91,6095
91,6795
91,6695
91,7395
70,10945
70,11845
70,13645
80,15645
122,8845
122,8495
122,10595
122,10245
122,10795
122,11245
140,18280
134,18344
183,25552
183,28248
183,28176
183,31600
234,34184
234,35056
308,40960
304,45400
140,16503
92,5389
92,6189
92,6669
98,7689
110,9959
122,8499
156,12629
156,14869
156,14489
122,6989
122,8189
110,9279
110,9279
97,5499
103,7099
97,6649
97,6849
97,7349
97,7299
97,7799
97,7499
97,7999
97,8249
120,8949
120,9549
181,13499
181,14399
181,13499
181,17199
181,19699
181,18399
120,11900
152,13200
120,12440
152,13860
120,15580
152,16900
120,16695
152,17075
120,16630
152,17950
134,18150
90,5572
98,7957
90,6229
90,6692
98,7609
122,8921
156,12764
151,22018
194,32528
194,34028
194,37028
132,9295
132,9895
121,11850
121,12170
121,15040
121,15510
121,18150
121,18620
97,5118
108,7053
108,7603
108,7126
108,7775
108,9960
108,9233
108,11259
108,7463
108,10198
108,8013
108,11694
92,5348
92,6338
92,6488
92,6918
92,7898
92,8778
98,6938
98,7198
110,7898
110,7788
98,7738
98,8358
98,9258
98,8058
98,8238
98,9298
98,9538
146,8449
146,9639
146,9989
146,11199
146,11549
146,17669
122,8948
110,10698
122,9988
122,10898
122,11248
171,16558
171,15998
171,15690
161,15750
97,7775
109,7975
97,7995
109,8195
109,8495
97,9495
109,9995
109,11595
109,9980
136,13295
97,13845
109,12290
141,12940
141,13415
141,15985
141,16515
130,18420
130,18950
141,16845
141,19045
173,21485
145,22470
141,22625
